match_id,set_number,team,own_score,opp_score,h_score,v_score,first_touch,touch_quality,touch_quality_score,setter,settercall,settercall_desc,settercall_type,score_diff,score_stage,is_clutch,prev_attack_result,streak_flow,possession_num,point_type,own_rotation,opp_rotation,setter_front,attacker_rt_eff,is_repeat_route,consecutive_toss_count,attack_code,attack_zone,num_blockers,attack_between_blockers,attacker_name,attack_result,attacker_season_pct,ace_is_front,setter_canonical,setter_name,attacker_rt_eff_missing,brier_score
45492d0e-04cd-447d-9584-17892f15ce91,1,Team_7,18,14,14,18,Reception,-,0.0,P7,,,,4,3,0,3,1,1.0,Sideout,3,2.0,1,1.0,0,1.0,CO,3,2.0,False,Attacker101,-,52.31,0.0,P7,P7,0,0.3388364951053201
45492d0e-04cd-447d-9584-17892f15ce91,1,Team_7,18,16,16,18,Reception,#,3.0,P7,KA,A Quick,Middle,2,3,0,3,-2,1.0,Sideout,2,1.0,1,0.8,0,1.0,LC,4,2.0,False,Attacker110,-,52.41,0.0,P7,P7,0,0.1521522353376397
45492d0e-04cd-447d-9584-17892f15ce91,1,Team_7,18,16,16,18,Dig,+,2.0,P7,,,,2,3,0,3,-2,3.0,Sideout,2,1.0,1,0.7142857142857143,0,1.0,P9,9,2.0,False,Attacker109,=,52.13,0.0,P7,P7,0,0.0013451569345629
45492d0e-04cd-447d-9584-17892f15ce91,1,Team_7,19,16,16,19,Reception,#,3.0,P7,KA,A Quick,Middle,3,3,0,2,1,1.0,Sideout,2,1.0,1,0.5,0,1.0,CA,3,1.0,False,Attacker103,-,60.71,0.0,P7,P7,0,0.059520756719333
45492d0e-04cd-447d-9584-17892f15ce91,1,Team_7,19,16,16,19,Dig,#,3.0,P7,,,,3,3,0,3,1,3.0,Sideout,2,1.0,1,0.6666666666666666,0,1.0,LC,4,2.0,False,Attacker110,#,52.41,0.0,P7,P7,0,0.0313213299764239
45492d0e-04cd-447d-9584-17892f15ce91,1,Team_7,20,16,16,20,Dig,!,1.0,P7,,,,4,4,0,1,2,3.0,Breakpoint,1,1.0,0,0.3333333333333333,0,1.0,CA,3,1.0,False,Attacker103,#,60.71,1.0,P7,P7,0,0.3488026688199978
45492d0e-04cd-447d-9584-17892f15ce91,1,Team_7,22,16,16,22,Freeball,+,2.0,P7,,,,6,4,0,1,4,1.0,Breakpoint,1,1.0,0,0.5555555555555556,0,1.0,XC,2,1.0,False,Attacker109,#,52.13,1.0,P7,P7,0,0.0059463099095799
45492d0e-04cd-447d-9584-17892f15ce91,1,Team_7,23,17,17,23,Reception,-,0.0,P7,,,,6,4,0,1,1,1.0,Sideout,1,6.0,0,0.6,1,2.0,XH,2,1.0,False,Attacker109,#,52.13,1.0,P7,P7,0,0.0251305723437128
45492d0e-04cd-447d-9584-17892f15ce91,1,Team_7,24,20,20,24,Reception,-,0.0,P7,,,,4,4,0,1,1,1.0,Sideout,6,5.0,0,0.5833333333333334,1,3.0,XH,2,2.0,False,Attacker109,#,52.13,1.0,P7,P7,0,0.0077137649666761
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,1,1,1,1,Reception,-,0.0,P7,,,,0,1,0,1,-1,1.0,Sideout,2,1.0,1,0.625,0,1.0,LC,4,2.0,False,Attacker110,#,52.41,0.0,P7,P7,0,0.014494322587807
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,3,2,2,3,Reception,#,3.0,P7,KA,A Quick,Middle,1,1,0,1,1,1.0,Sideout,1,6.0,0,0.6153846153846154,0,1.0,XC,2,2.0,False,Attacker109,#,52.13,1.0,P7,P7,0,0.0044859989540758
45492d0e-04cd-447d-9584-17892f15ce91,2,Team_7,5,3,3,5,Reception,-,0.0,P7,,,,2,1,0,1,1,1.0,Sideout,6,5.0,0,0.5,0,1.0,LC,4,1.0,False,Attacker112,#,45.2,1.0,P7,P7,0,0.0046034492503191
